lat,lon,reported_date,reported_by,address,city,zip,addressline,country
40.38389,-3.78445,03/23/10 00:49:31,web,A-5| 28024 Madrid| Spain,madrid,28024,A-5,España
40.4143,-3.7074,03/23/10 09:02:56,web,Calle Imperial| 18| 28012 Madrid| Spain,madrid,28012,Calle Imperial| 18,España
40.42211,-3.71304,03/23/10 11:38:14,web,Cuesta de San Vicente| 28008 Madrid| Spain,madrid,28008,Cuesta de San Vicente,España
40.42297,-3.71171,03/23/10 11:41:28,web,Plaza de España| 28013 Madrid| Spain,madrid,28013,Plaza de España,España
41.65295,-4.72839,03/23/10 11:54:25,web,Calle de la Cebadería| 1-5| 47001 Valladolid| Spain,valladolid,47001,Calle de la Cebadería| 1-5,España
40.41362,-3.71367,03/23/10 11:55:22,web,Calle de Bailén| 23-27| 28005 Madrid| Spain,madrid,28005,Calle de Bailén| 23-27,España
40.43272,-3.70883,03/23/10 13:58:30,web,Calle de Vallehermoso| 17-29| 28015 Madrid| Spain,madrid,28015,Calle de Vallehermoso| 17-29,España
42.93296,-8.51501,03/23/10 14:36:42,web,Balsoma| 15705 Santiago de Compostela| Spain,santiago de compostela,,Balsoma,España
37.63629,-0.9659,03/23/10 17:43:24,web,Camino Rural XIV Sifón| 30310 Cartagena| Spain,cartagena,30310,Camino Rural XIV Sifón,España
40.09505,0.14514,03/23/10 17:55:30,web,Plaza del Príncipe de Asturias| 20-24| 12594 Oropesa del Mar| Spain,oropesa del mar,12594,Plaza del Príncipe de Asturias| 20-24,España
40.41362,-3.71367,03/22/10 21:00:25,web,Calle de Bailén| 23-27| 28005 Madrid| Spain,madrid,28005,Calle de Bailén| 23-27,España
40.31141,-3.8904,03/22/10 21:04:37,web,Av de Portugal| 28935 Móstoles| Spain,móstoles,28935,Av de Portugal,España
40.42269,-3.69932,03/22/10 21:12:45,web,Calle de Hortaleza| 60| 28004 Madrid| Spain,madrid,28004,Calle de Hortaleza| 60,España
40.38617,-3.78165,03/22/10 20:21:48,web,A-5| 390| 28024 Madrid| Spain,madrid,28024,A-5| 390,España
40.43811,-3.70017,03/23/10 10:46:46,web,Calle de Santa Engracia| 101-117| 28010 Madrid| Spain,madrid,28010,Calle de Santa Engracia| 101-117,España
40.37346,-3.73299,03/23/10 12:45:59,web,Av de los Poblados| 110| 28025 Madrid| Spain,madrid,28025,Av de los Poblados| 110,España
40.41748,-3.69849,03/23/10 13:42:38,web,Calle de Cedaceros| 6| 28014 Madrid| Spain,madrid,28014,Calle de Cedaceros| 6,España
40.40638,-3.73326,03/23/10 15:38:10,web,Calle de Turaco| 2| 28011 Madrid| Spain,madrid,28011,Calle de Turaco| 2,España
40.40638,-3.73326,03/23/10 15:41:46,web,Calle de Turaco| 2| 28011 Madrid| Spain,madrid,28011,Calle de Turaco| 2,España
43.31288,-1.92093,03/23/10 15:59:45,web,Calle de Eskalantegi| 108| 20017 San Sebastián| Spain,san sebastián,,Pasai Antxo,España
40.42933,-3.64353,03/23/10 17:19:38,web,Calle de Francisco Villaespesa| 16-20| 28017 Madrid| Spain,madrid,28017,Calle de Francisco Villaespesa| 16-20,España
40.46367,-3.74922,03/23/10 17:22:17,web,Calle 30| 28035 Madrid| Spain,madrid,28035,Calle 30,España
40.42269,-3.69932,03/22/10 20:59:34,web,Calle de Hortaleza| 60| 28004 Madrid| Spain,madrid,28004,Calle de Hortaleza| 60,España
40.37756,-3.79277,03/22/10 21:16:54,web,A-5| 28024 Madrid| Spain,madrid,28024,A-5,España
40.41362,-3.71367,03/23/10 00:54:18,web,Calle de Bailén| 23-27| 28005 Madrid| Spain,madrid,28005,Calle de Bailén| 23-27,España
40.38617,-3.78165,03/23/10 00:54:20,web,A-5| 390| 28024 Madrid| Spain,madrid,28024,A-5| 390,España
40.42297,-3.71171,03/23/10 11:43:41,web,Plaza de España| 28013 Madrid| Spain,madrid,28013,Plaza de España,España
41.65295,-4.72839,03/23/10 12:24:13,web,Calle de la Cebadería| 1-5| 47001 Valladolid| Spain,valladolid,47001,Calle de la Cebadería| 1-5,España
40.42933,-3.64353,03/23/10 17:17:56,web,Calle de Francisco Villaespesa| 16-20| 28017 Madrid| Spain,madrid,28017,Calle de Francisco Villaespesa| 16-20,España
41.65295,-4.72839,03/23/10 17:51:15,web,Calle de la Cebadería| 1-5| 47001 Valladolid| Spain,valladolid,47001,Calle de la Cebadería| 1-5,España
40.46367,-3.74922,03/23/10 17:53:12,web,Calle 30| 28035 Madrid| Spain,madrid,28035,Calle 30,España
40.30427,-3.90495,03/22/10 21:03:44,web,Carretera de Madrid a Badajoz| 28935 Móstoles| Spain,móstoles,28935,Carretera de Madrid a Badajoz,España
40.42326,-3.71086,03/22/10 21:11:46,web,Plaza de España| 28013 Madrid| Spain,madrid,28013,Plaza de España,España
40.34062,-3.86488,03/22/10 21:15:05,web,Glorieta de los Jazmines| 28933 Móstoles| Spain,móstoles,28933,Glorieta de los Jazmines,España
40.38389,-3.78445,03/22/10 21:19:22,web,A-5| 28024 Madrid| Spain,madrid,28024,A-5,España
40.4143,-3.7074,03/23/10 00:54:17,web,Calle Imperial| 18| 28012 Madrid| Spain,madrid,28012,Calle Imperial| 18,España
40.37756,-3.79277,03/23/10 00:54:23,web,A-5| 28024 Madrid| Spain,madrid,28024,A-5,España
40.4143,-3.7074,03/23/10 09:02:47,web,Calle Imperial| 18| 28012 Madrid| Spain,madrid,28012,Calle Imperial| 18,España
40.54754,-3.62675,03/23/10 09:21:00,web,Calle de San Roque| 2-8| 28701 San Sebastián de los Reyes| Spain,san sebastián de los reyes,28701,Calle de San Roque| 2-8,España
40.54767,-3.62647,03/23/10 09:31:15,web,Calle de San Roque| 8| 28701 San Sebastián de los Reyes| Spain,san sebastián de los reyes,28701,Calle de San Roque| 8,España
41.6614,-4.76665,03/23/10 12:24:40,web,Carretera León-Valladolid| 35-37| 47610 Zaratán| Spain,zaratán,47610,Carretera León-Valladolid| 35-37,España
40.47692,-3.75563,03/23/10 12:49:23,web,M-40| 28023 Madrid| Spain,madrid,28023,M-40,España
40.47692,-3.75563,03/23/10 13:27:09,web,M-40| 28023 Madrid| Spain,madrid,28023,M-40,España
40.40308,-3.69457,03/23/10 13:30:52,web,Calle de Palos de la Frontera| 19-35| 28045 Madrid| Spain,madrid,28045,Calle de Palos de la Frontera| 19-35,España
41.38862,2.16954,03/23/10 15:31:19,web,Passeig de Gràcia| 6| 08007 Barcelona| Spain,barcelona,08007,Passeig de Gràcia| 6,España
40.42297,-3.71171,03/23/10 15:52:43,web,Plaza de España| 28013 Madrid| Spain,madrid,28013,Plaza de España,España
40.45133,-3.69088,03/23/10 16:45:00,web,Paseo de la Castellana| 28046 Madrid| Spain,madrid,28046,Paseo de la Castellana,España
36.76273,-2.61759,03/23/10 16:46:30,web,Plaza de los Labradores| 1A| 04740 Roquetas de Mar| Spain,roquetas de mar,04740,Plaza de los Labradores| 1A,España
40.09505,0.14514,03/23/10 16:55:41,web,Plaza del Príncipe de Asturias| 20-24| 12594 Oropesa del Mar| Spain,oropesa del mar,12594,Plaza del Príncipe de Asturias| 20-24,España
40.42326,-3.71086,03/23/10 00:54:19,web,Plaza de España| 28013 Madrid| Spain,madrid,28013,Plaza de España,España
40.31141,-3.8904,03/23/10 00:54:20,web,Av de Portugal| 28935 Móstoles| Spain,móstoles,28935,Av de Portugal,España
40.30427,-3.90495,03/23/10 00:54:23,web,Carretera de Madrid a Badajoz| 28935 Móstoles| Spain,móstoles,28935,Carretera de Madrid a Badajoz,España
40.37807,-3.75471,03/23/10 00:54:24,web,Calle de Jacobinia| 22-90| 28047 Madrid| Spain,madrid,28047,Calle de Jacobinia| 22-90,España
40.54743,-3.62693,03/23/10 09:31:56,web,Calle de San Roque| 2-8| 28701 San Sebastián de los Reyes| Spain,san sebastián de los reyes,28701,Calle de San Roque| 2-8,España
40.41936,-3.72065,03/23/10 11:41:17,web,Av de Portugal| 28008 Madrid| Spain,madrid,28008,Av de Portugal,España
40.38389,-3.78445,03/23/10 12:03:02,web,A-5| 28024 Madrid| Spain,madrid,28024,A-5,España
40.41748,-3.69849,03/23/10 14:17:21,web,Calle de Cedaceros| 6| 28014 Madrid| Spain,madrid,28014,Calle de Cedaceros| 6,España
37.63629,-0.9659,03/23/10 16:45:08,web,Camino Rural XIV Sifón| 30310 Cartagena| Spain,cartagena,30310,Camino Rural XIV Sifón,España
40.81596,-5.05614,03/23/10 17:41:02,web,Carretera de Herreros de Suso| 05146 Herreros de Suso| Spain,herreros de suso,05146,Carretera de Herreros de Suso,España
40.81596,-5.05614,03/23/10 17:43:12,web,Carretera de Herreros de Suso| 05146 Herreros de Suso| Spain,herreros de suso,05146,Carretera de Herreros de Suso,España
40.41362,-3.71367,03/22/10 21:02:33,web,Calle de Bailén| 23-27| 28005 Madrid| Spain,madrid,28005,Calle de Bailén| 23-27,España
40.37675,-3.75093,03/22/10 21:13:58,web,Calle de Jacobinia| 22-90| 28047 Madrid| Spain,madrid,28047,Calle de Jacobinia| 22-90,España
40.34062,-3.86488,03/23/10 00:54:17,web,Glorieta de los Jazmines| 28933 Móstoles| Spain,móstoles,28933,Glorieta de los Jazmines,España
41.65295,-4.72839,03/23/10 12:10:31,web,Calle de la Cebadería| 1-5| 47001 Valladolid| Spain,valladolid,47001,Calle de la Cebadería| 1-5,España
40.70762,-3.99601,03/23/10 13:32:12,web,Calle de los Olivos| 4-10| 28490 Becerril de la Sierra| Spain,becerril de la sierra,28490,Calle de los Olivos| 4-10,España
42.93296,-8.51501,03/23/10 15:22:50,web,Balsoma| 15705 Santiago de Compostela| Spain,santiago de compostela,,Balsoma,España
40.30406,-3.90558,03/23/10 18:15:11,web,Carretera de Madrid a Badajoz| 28935 Móstoles| Spain,móstoles,28935,Carretera de Madrid a Badajoz,España
